"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"17",28000,1490,1026.8,65,0.342,0.342,0.00036549101977683-0.0013621678245375i,-0.00131983644684961-0.0006009389371315i,0.002182787976851,-53.2197689409302
"18",29000,1490,1026.8,65,0.342,0.342,-9.70567332549293e-04+9.82996836357707e-04i,0.00118583903677519-0.00058047064867195i,0.000456474794937413,-66.811663956101
"19",30000,1490,1026.8,65,0.342,0.342,0.00146075728236917-0.00046825720190231i,-0.00088436687393109+0.00168432844268329i,0.00134575449677644,-57.4206832066983
"20",31000,1490,1026.8,65,0.342,0.342,-1.7081300587377e-03-9.132091529898e-05i,0.00043993444658378-0.00265104533270128i,0.00302140575707029,-50.3958189521738
"21",32000,1490,1026.8,65,0.342,0.342,0.00162987324728468+0.00062561096068297i,0.00011300961153172+0.00343014917499367i,0.00441438907864948,-47.1025878264611
"22",33000,1490,1026.8,65,0.342,0.342,-0.00122317002849695-0.00108484976939302i,-0.00073232953127189-0.00398278185031198i,0.00543183843291477,-45.3010631277805
"23",34000,1490,1026.8,65,0.342,0.342,0.00057237018281069+0.00142567313304675i,0.00137088363240089+0.00428354307221676i,0.00603086934602117,-44.3924016014205
"24",35000,1490,1026.8,65,0.342,0.342,0.00017628912644169-0.00159861216317475i,-0.0019794835009076-0.00432159087937334i,0.00618872474885587,-44.1679766531767
"25",36000,1490,1026.8,65,0.342,0.342,-0.00086161892628388+0.00155065585903547i,0.00250996036399884+0.00410094923055541i,0.00588707648871473,-44.6020064303137
"26",37000,1490,1026.8,65,0.342,0.342,0.00135533296896772-0.00124598114869251i,-0.00291816294093721-0.00364001597844594i,0.00512985433006545,-45.797899343171
"27",38000,1490,1026.8,65,0.342,0.342,-0.00159099602325464+0.00069485513070105i,0.00316671584666227+0.00297030739535127i,0.00398952494719083,-47.9815762972751
"28",39000,1490,1026.8,65,0.342,0.342,1.56521924217224e-03+2.701052849992e-05i,-0.00322738188686248-0.00213451603869579i,0.00268409465796376,-51.4240434458699
"29",40000,1490,1026.8,65,0.342,0.342,-0.00131696083340927-0.0007837716969029i,0.00308289448370096+0.00118399489011727i,0.00181071816184056,-54.8429828466485
"30",41000,1490,1026.8,65,0.342,0.342,0.00090097250437383+0.00141260963037327i,-0.00272815671178012-0.00017581044688574i,0.00220641663066393,-53.1262495540176
"31",42000,1490,1026.8,65,0.342,0.342,-0.000371632823809-0.00177309581160889i,0.00217073930342067-0.00083047078497089i,0.00316470269501049,-49.9933416622603
"32",43000,1490,1026.8,65,0.342,0.342,-0.00021596740598191+0.00179173279776224i,-0.00143064949356055+0.00177608527959044i,0.003929462182913,-48.1133377302859
"33",44000,1490,1026.8,65,0.342,0.342,0.00079381169726413-0.00148209802892612i,0.00053938351540114-0.00260628490884937i,0.00430026563376814,-47.3300943315871
"34",45000,1490,1026.8,65,0.342,0.342,-0.00127232491079742+0.00093274132454603i,0.00046168434620696+0.00327328561783098i,0.00428343329176035,-47.3641598442995
"35",46000,1490,1026.8,65,0.342,0.342,0.00154883326193167-0.00027065064435285i,-0.0015234862065693-0.00373879544173432i,0.00400952620523364,-47.938138874826
"36",47000,1490,1026.8,65,0.342,0.342,-0.00153610182597217-0.00038082760821027i,0.00259189668103465+0.00397598961438872i,0.00374698447109745,-48.5263621356189
"37",48000,1490,1026.8,65,0.342,0.342,0.00120017371595844+0.0009301760887439i,-0.00361067372074017-0.0039708321822568i,0.00388021903403273,-48.2228751655032
"38",49000,1490,1026.8,65,0.342,0.342,-0.00058802559308062-0.00132250383485521i,0.00452454045086231+0.00372268040760814i,0.00461053107634338,-46.7249809271691
"39",50000,1490,1026.8,65,0.342,0.342,-0.00017243966429891+0.00152592357476736i,-0.00528223659919091-0.00324414825432597i,0.00571889755013355,-44.8537536690323
"40",51000,1490,1026.8,65,0.342,0.342,0.00090516529824151-0.00151499072274293i,0.00583936996485239+0.00256024617364808i,0.00682505053994211,-43.3178825659296
"41",52000,1490,1026.8,65,0.342,0.342,-0.00144019291099844+0.00126710780524838i,-0.00616090964781009-0.00170685398324413i,0.00761381223898957,-42.3679567468507
"42",53000,1490,1026.8,65,0.342,0.342,0.00166664211384548-0.00077791374224368i,0.00622318278564248+0.00072861968886711i,0.00788997888769537,-42.0584831778133
"43",54000,1490,1026.8,65,0.342,0.342,-1.56162060786714e-03+8.738344855824e-05i,-0.00601526418731823+0.00032359233004543i,0.00758802242287872,-42.3974278885138
"44",55000,1490,1026.8,65,0.342,0.342,0.00118398879434951+0.00070165653335495i,0.00553968195715578-0.00139555690763811i,0.0067593820800483,-43.4018600796618
