"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"2100",88000,1490,1026.8,72,0.393,0.393,0.00038670383897383+0.00130748302370819i,0.00105751702277382+0.00024748359417294i,0.00212219110360774,-53.4643102078893
"2101",89000,1490,1026.8,72,0.393,0.393,0.00093570221910784-0.00109746805037821i,6.25307569734679e-04-1.67590948471122e-04i,0.00200926002086137,-53.9392771404155
"2102",90000,1490,1026.8,72,0.393,0.393,-0.00155665131775966-0.00012154680974837i,-0.00176373444303824-0.00112671458059851i,0.00354726910441542,-49.0021172729659
"2103",91000,1490,1026.8,72,0.393,0.393,0.00095002178443504+0.00131814503357386i,0.00169538484856332+0.00305332217427516i,0.00510958920102302,-45.8322802943721
"2104",92000,1490,1026.8,72,0.393,0.393,0.00034543129379358-0.00147101869692512i,-0.00022820121694225-0.00473355953848325i,0.0062056856164506,-44.1442045959817
"2105",93000,1490,1026.8,72,0.393,0.393,-0.00118689053832027+0.00043524658082134i,-0.00226648177657866+0.00532612254525456i,0.00671707931709988,-43.4563904680728
"2106",94000,1490,1026.8,72,0.393,0.393,7.98325794347199e-04+9.34683676899995e-04i,0.00497772526968932-0.00435501452606033i,0.00671278101922558,-43.4619503981551
"2107",95000,1490,1026.8,72,0.393,0.393,0.00057022619202843-0.00150557522518174i,-0.00695032100634706+0.00190207234290902i,0.00639240328859668,-43.8867166748601
"2108",96000,1490,1026.8,72,0.393,0.393,-0.00185033892086873+0.00081855415665458i,0.00743677754016565+0.0014118995491939i,0.00601524897083282,-44.4149278505355
"2109",97000,1490,1026.8,72,0.393,0.393,0.00205167510641923+0.00053061200128849i,-0.00616870903335998-0.00464829802500947i,0.0058228263365421,-44.697323247148
"2110",98000,1490,1026.8,72,0.393,0.393,-0.00108819838445448-0.00140269276256362i,0.0034447630302527+0.00688442919995061i,0.00596681081473196,-44.4851546358463
"2111",99000,1490,1026.8,72,0.393,0.393,-0.0001634085399917+0.00108223722227533i,-8.26674788324e-06-7.52779566884784e-03i,0.00644784429810841,-43.8117091675109
"2112",1e+05,1490,1026.8,72,0.393,0.393,6.19717146418872e-04+1.19361183588309e-04i,-0.00322750775121142+0.00649238582754536i,0.00710744471506316,-42.9657301952868
"2113",101000,1490,1026.8,72,0.393,0.393,8.21780127499e-05-1.13578033070334e-03i,0.00549131469184777-0.00418004277105951i,0.00770206441010714,-42.2678570764129
"2114",102000,1490,1026.8,72,0.393,0.393,-0.00127442239936446+0.00106149122534572i,-0.00638149909615597+0.00129181018257841i,0.0080094420193987,-41.9279547628019
"2115",103000,1490,1026.8,72,0.393,0.393,1.83090711778987e-03+6.697897553756e-05i,0.00593208240281063+0.00143983770427854i,0.00790787599823905,-42.0388029877307
"2116",104000,1490,1026.8,72,0.393,0.393,-0.00113886428833907-0.00129118141434492i,-0.00451378972164499-0.00348434374475789i,0.0073998741814853,-42.6155132884918
"2117",105000,1490,1026.8,72,0.393,0.393,-0.00035634770086552+0.00154171293300946i,0.00263491261507566+0.00462624511260463i,0.00657537561822327,-43.6415886612897
"2118",106000,1490,1026.8,72,0.393,0.393,0.00150279103770086-0.00055714756942283i,-0.00074042193936261-0.00493471689707277i,0.00554452720801856,-45.1227096204239
"2119",107000,1490,1026.8,72,0.393,0.393,-0.00140250647411964-0.00086984966855261i,-0.00090608010335314+0.00463209046818432i,0.00441407156943575,-47.103212589962
"2120",108000,1490,1026.8,72,0.393,0.393,0.0001745121328829+0.00153734427510483i,0.00222399765882955-0.00394313515694916i,0.00339715748650336,-49.3776863900413
"2121",109000,1490,1026.8,72,0.393,0.393,0.00112747436115443-0.00083630728480727i,-0.00322860193827646+0.00300289159669062i,0.00301808294714406,-50.4053765702548
"2122",110000,1490,1026.8,72,0.393,0.393,-0.00138308211175024-0.00073048978136115i,0.0039237723007742-0.00185890926755495i,0.00362768439519347,-48.8074100628234
"2123",111000,1490,1026.8,72,0.393,0.393,0.0003371260122607+0.00195392705077864i,-0.00424512250266305+0.00054731772422532i,0.00463989892061042,-46.6698296074338
"2124",112000,1490,1026.8,72,0.393,0.393,0.00118583710616798-0.00191555839824568i,0.00408795161568262+0.00081912543643685i,0.00538655852307013,-45.3737723467061
"2125",113000,1490,1026.8,72,0.393,0.393,-0.00196779547038773+0.00074466883625758i,-0.00340085038409796-0.00201801178115434i,0.00551758648017453,-45.1650170235228
"2126",114000,1490,1026.8,72,0.393,0.393,0.0014130447074235+0.00049884771495531i,0.00228359006148811+0.00277324473395922i,0.004936769957064,-46.1311421900853
"2127",115000,1490,1026.8,72,0.393,0.393,-4.3590576368944e-05-7.19257121246406e-04i,-0.00101996515074336-0.00288049513912773i,0.00375358057336486,-48.5110851449479
"2128",116000,1490,1026.8,72,0.393,0.393,-9.41756054439031e-04-2.91518886813354e-04i,7.67944859972e-06+2.33736842736932e-03i,0.00224899965499538,-52.9602122237339
"2129",117000,1490,1026.8,72,0.393,0.393,0.00067618392826783+0.00167642406826795i,0.00039723417941021-0.00140128205084294i,0.00110811983270936,-59.1082654443113
"2130",118000,1490,1026.8,72,0.393,0.393,0.00064412094430103-0.0022321771070104i,-5.3024775235985e-05+5.27336074955741e-04i,0.00180440506141514,-54.8733192672482
"2131",119000,1490,1026.8,72,0.393,0.393,-0.00192112713050226+0.00142277876393212i,-8.65727904704732e-04-1.96461567593459e-04i,0.003044735596615,-50.3290083063811
"2132",120000,1490,1026.8,72,0.393,0.393,0.00207499728598063+0.0001629496303727i,0.00189929613366549+0.00070262482799805i,0.00406745956690737,-47.8135351105697
"2133",121000,1490,1026.8,72,0.393,0.393,-0.00095231919136712-0.00129567115464169i,-0.00247042367134399-0.00199685660622533i,0.00474930602933943,-46.4673969007526
"2134",122000,1490,1026.8,72,0.393,0.393,-0.00054003009079553+0.00112788182073684i,0.00212508107025869+0.00366858455632249i,0.00505158156558496,-45.931452605262
"2135",123000,1490,1026.8,72,0.393,0.393,0.00118965343766018+0.00010193092922406i,-0.00074205020709105-0.00508654291448732i,0.00500466835021523,-46.0124939418901
"2136",124000,1490,1026.8,72,0.393,0.393,-0.00049074391385874-0.00127423073420962i,-0.0013867485539185+0.00564825290829499i,0.00475994201077605,-46.4479667630413
"2137",125000,1490,1026.8,72,0.393,0.393,-0.00093491244027798+0.00133158975084692i,0.00365003760219271-0.00503323200261771i,0.00459064919210314,-46.7625178770035
"2138",126000,1490,1026.8,72,0.393,0.393,0.00186192876864708-0.00016941935330281i,-0.00535262689332065+0.00334746506207484i,0.00472069358512537,-46.5198837643382
"2139",127000,1490,1026.8,72,0.393,0.393,-0.00149172636713597-0.00127358350010233i,0.00599421775793656-0.00109102182357661i,0.00508564519613827,-45.8730788396917
"2140",128000,1490,1026.8,72,0.393,0.393,0.00012507991295136+0.00180252848904802i,-0.00547027543147466-0.0010417387981504i,0.00539906622343325,-45.3536269112336
"2141",129000,1490,1026.8,72,0.393,0.393,0.00108843218362276-0.00097161726664253i,0.00410577964437718+0.0024443326472816i,0.0053989561126671,-45.353804056628
"2142",130000,1490,1026.8,72,0.393,0.393,-0.00111528948736876-0.00053609019403989i,-0.00250643180423008-0.00283928346197075i,0.00495075877333071,-46.1065646846958
