"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"10399",295000,1490,1026.8,100,0.422,0.422,0.00180726641997741+0.00402390205377709i,-0.0016808697535503+0.0150327573442496i,0.0190570785675476,-34.3988735107202
"10400",296000,1490,1026.8,100,0.422,0.422,0.0023604616563268-0.00284891088825553i,0.0132457708253115-0.0072438854710908i,0.0185854521231575,-34.6165373895582
"10401",297000,1490,1026.8,100,0.422,0.422,-0.00199328658349034-0.00112578060762015i,-0.0134876174028585-0.006654730067751i,0.017326128667539,-35.2259692952257
"10402",298000,1490,1026.8,100,0.422,0.422,-0.001757104613212+0.00078842639560549i,0.0022929522589454+0.0147780157791756i,0.015575662254949,-36.1510695738826
"10403",299000,1490,1026.8,100,0.422,0.422,0.00124401179541587+0.00351739949461265i,0.0106903602047593-0.0102955100276476i,0.0137248685762962,-37.2498361096705
"10404",3e+05,1490,1026.8,100,0.422,0.422,0.00420017239051708-0.00365447564331011i,-0.0144338514651079-0.0027922780311249i,0.0120949915394993,-38.3478886218586
"10405",12000,1490,1026.8,101,0.422,0.422,0.00263747436980148-0.00413215235284263i,-0.0173702109802768+0.0395503086366921i,0.0383601267279036,-28.3223993349606
"10406",13000,1490,1026.8,101,0.422,0.422,-0.00462134275285919-0.00068295629625158i,0.0428588257922658-0.0072062031593764i,0.0390428475665548,-28.1691702968784
"10407",14000,1490,1026.8,101,0.422,0.422,0.00072932383987576+0.00338634645714373i,-0.0296526961823931-0.0319469025113101i,0.0406480851921352,-27.8191981576473
"10408",15000,1490,1026.8,101,0.422,0.422,0.00173897357211843-0.00037727984030111i,-0.0103522303718898+0.0423470498486233i,0.0428444837435377,-27.3621017170366
"10409",16000,1490,1026.8,101,0.422,0.422,0.00121965171575696-0.00141893246493716i,0.0409387433886983-0.0146877143806614i,0.0451304149149128,-26.9106134738786
"10410",17000,1490,1026.8,101,0.422,0.422,-0.00286339064599461-0.00227683355228172i,-0.0347141479803185-0.0258814453298122i,0.0469570024470668,-26.5659926910218
"10411",18000,1490,1026.8,101,0.422,0.422,-0.00149824789195286+0.00473842568902089i,-0.0022989082490112+0.0429652213690089i,0.0478545330914004,-26.4015383350325
"10412",19000,1490,1026.8,101,0.422,0.422,0.00522856093873916-0.00061772445967644i,0.0367135806825327-0.0217749172863501i,0.0475454903029163,-26.4578133934333
"10413",20000,1490,1026.8,101,0.422,0.422,-0.00223313725376069-0.00383465997498655i,-0.0381694528574128-0.018204578033604i,0.0460227910897502,-26.7405409345034
"10414",21000,1490,1026.8,101,0.422,0.422,-0.0018993753241649+0.00196878453949591i,0.0061331869760872+0.0413963299240061i,0.0435713014900471,-27.215989346842
"10415",22000,1490,1026.8,101,0.422,0.422,0.00028389583588892+0.00131219103407742i,0.0305295748667426-0.0279274051128966i,0.0407165764425659,-27.8045749152967
"10416",23000,1490,1026.8,101,0.422,0.422,0.00264485246585494+0.00094103277781407i,-0.0397664577422064-0.0094937744796883i,0.0380941329985632,-28.3828381256229
"10417",24000,1490,1026.8,101,0.422,0.422,0.00023833489204089-0.00455484990795055i,0.0143336668080731+0.0377529440826293i,0.0362554367009827,-28.8125371875449
"10418",25000,1490,1026.8,101,0.422,0.422,-0.00506957195415328+0.00198496948359856i,0.022817689108611-0.032709449247161i,0.0354822394906228,-28.9997795424624
"10419",26000,1490,1026.8,101,0.422,0.422,0.00380642341910035+0.0035145516455822i,-0.039390162432209-0.000344199732493i,0.0357246919287747,-28.9406301530268
"10420",27000,1490,1026.8,101,0.422,0.422,0.00119662492037604-0.00364110467416659i,0.0217522228756972+0.0322748684491613i,0.0366952591364271,-28.707800820618
"10421",28000,1490,1026.8,101,0.422,0.422,-0.00178598148030899-0.00015596410443855i,0.0140830041748003-0.0358066952356298i,0.0380069682289793,-28.4027354434751
"10422",29000,1490,1026.8,101,0.422,0.422,-0.00119300444614738+0.00013845345982372i,-0.0370684975475+0.0086549712807561i,0.03925897163042,-28.1212216143755
"10423",30000,1490,1026.8,101,0.422,0.422,0.00035335345127812+0.00309849610547274i,0.0279240241849751+0.0253170784410895i,0.0400880900367492,-27.9396926970201
"10424",31000,1490,1026.8,101,0.422,0.422,0.00384524227063925-0.00223805884821641i,0.0048771938964825-0.0370404810623977i,0.0402353649194241,-27.9078411086749
"10425",32000,1490,1026.8,101,0.422,0.422,-0.00395985159093543-0.00257608490136285i,-0.0329673226886617+0.016953429608091i,0.0396273168545617,-28.0401066505694
"10426",33000,1490,1026.8,101,0.422,0.422,-0.00043503637648769+0.00386277808550667i,0.0324947381006451+0.0173253216730619i,0.0384286357553972,-28.3069006606582
"10427",34000,1490,1026.8,101,0.422,0.422,0.00210436228665824-0.0005783572459685i,-0.0042371073008783-0.0363743566435969i,0.0370142089622318,-28.6326305514676
"10428",35000,1490,1026.8,101,0.422,0.422,3.97819249124534e-04-4.92991748444323e-04i,-0.0273748127411531+0.0240734675854775i,0.0358301132927299,-28.9150363723576
"10429",36000,1490,1026.8,101,0.422,0.422,-0.00067941538019377-0.00222209749047658i,0.0352394827664974+0.0088033376573217i,0.0351811168083042,-29.0738075636397
"10430",37000,1490,1026.8,101,0.422,0.422,-0.00288272017262169+0.00249099705832715i,-0.0127245058223226-0.0339106995043698i,0.0350825199359328,-29.0981843865276
"10431",38000,1490,1026.8,101,0.422,0.422,0.00407481733731105+0.00152171609028864i,-0.0206765181356379+0.0296395356360793i,0.0353077906212104,-29.0425891497503
"10432",39000,1490,1026.8,101,0.422,0.422,-0.00066162912859221-0.00373663050709489i,0.0360727101209708+0.0002752730778628i,0.0355798489640091,-28.9759179964509
"10433",40000,1490,1026.8,101,0.422,0.422,-0.00166900510022265+0.00155712319107337i,-0.0201133499667521-0.0298771362464072i,0.0357280580457158,-28.93981177388
"10434",41000,1490,1026.8,101,0.422,0.422,2.43623991386939e-04-1.65252596792389e-04i,-0.0133232418566452+0.0334002539491881i,0.035716126867214,-28.942712860954
"10435",42000,1490,1026.8,101,0.422,0.422,6.915395163342e-05+2.0301462422994e-03i,0.0350476654707977-0.0077531821122692i,0.0355801088519498,-28.9758545518385
"10436",43000,1490,1026.8,101,0.422,0.422,0.00299707950359134-0.00223859185827497i,-0.0260270467012568-0.0246037395012973i,0.0353679253270901,-29.0278083006927
"10437",44000,1490,1026.8,101,0.422,0.422,-0.00428771967176808-0.00158002568544101i,-0.0057944924114053+0.035240731751321i,0.0351382147148038,-29.0844061540288
"10438",45000,1490,1026.8,101,0.422,0.422,0.00099499052374651+0.00419065446889367i,0.0323453413643116-0.0148315331741246i,0.0349972288906608,-29.1193268416457
"10439",46000,1490,1026.8,101,0.422,0.422,0.00194379285292539-0.00231408688031706i,-0.0302074628717437-0.018492916693146i,0.0350965303219385,-29.0947163239704
"10440",47000,1490,1026.8,101,0.422,0.422,-0.00109437866759374+0.00035555058418093i,0.00143937510765+0.0351841478519274i,0.0355413728979786,-28.9853160041651
"10441",48000,1490,1026.8,101,0.422,0.422,0.00047948002631056-0.00152529955356604i,0.0282539116729895-0.0205960052817441i,0.0362623761792043,-28.8108748224027
"10442",49000,1490,1026.8,101,0.422,0.422,-0.0030085486819973+0.00177198670656031i,-0.0325285210031116-0.0119845844151481i,0.0369754036321679,-28.6417415288978
"10443",50000,1490,1026.8,101,0.422,0.422,0.00431343815226878+0.00182848664225145i,0.0079531467283498+0.0333825968368535i,0.0372865861189506,-28.5689475580744
"10444",51000,1490,1026.8,101,0.422,0.422,-0.00103433062004677-0.00471274975946759i,0.0231405124675371-0.0247933022134288i,0.0368685554219524,-28.6668775703975
"10445",52000,1490,1026.8,101,0.422,0.422,-0.00250820991946294+0.00296424661568245i,-0.0329990302267473-0.0055196230210528i,0.0355990737431997,-28.971226036863
"10446",53000,1490,1026.8,101,0.422,0.422,0.00216140270243914-0.00030916213449466i,0.0133978934288138+0.0300981810839239i,0.033607697720455,-29.4712247530199
"10447",54000,1490,1026.8,101,0.422,0.422,-0.00113610507518086+0.00064388841528665i,0.0174178994237113-0.0272947764608089i,0.0312308607121674,-30.1083209318585
"10448",55000,1490,1026.8,101,0.422,0.422,0.00285132538122949-0.00080333824855766i,-0.0317547620062039+0.0004952809839843i,0.0289050782391636,-30.7805170151106
"10449",56000,1490,1026.8,101,0.422,0.422,-0.00372639100392729-0.00241639827360234i,0.0175247673209971+0.0256761744598345i,0.0270446367552069,-31.3583769464969
"10450",57000,1490,1026.8,101,0.422,0.422,0.00024544236073823+0.00496381471259694i,0.0115089217339851-0.0281000554906876i,0.0259509289354563,-31.7169418319775
"10451",58000,1490,1026.8,101,0.422,0.422,0.00345544268330366-0.00267075488902398i,-0.0290407175652746+0.0057184688977503i,0.0257661570954033,-31.7790069931363
"10452",59000,1490,1026.8,101,0.422,0.422,-0.00267564280593591-0.00071464552897298i,0.0201996286456971+0.0205127402575444i,0.0264396413476741,-31.5548888065589
"10453",60000,1490,1026.8,101,0.422,0.422,6.32262135416677e-04+3.91423819442971e-04i,0.0058118866313998-0.0273301008624862i,0.0276987251359741,-31.1508043870525
"10454",61000,1490,1026.8,101,0.422,0.422,-0.00190389249158664+0.00067148451339089i,-0.0251853644329679+0.0098973172482071i,0.0290779540442667,-30.7287230831816
"10455",62000,1490,1026.8,101,0.422,0.422,0.00336049348424229+0.00196856731234843i,0.0214075143524499+0.0150201051501403i,0.0300344669377728,-30.4476014331727
"10456",63000,1490,1026.8,101,0.422,0.422,-0.00029432119131357-0.00488937713660823i,0.0006697434575195-0.0252105929525451i,0.0301023112276431,-30.428003167939
"10457",64000,1490,1026.8,101,0.422,0.422,-0.00385696006902756+0.00278977312477982i,-0.0205692751502976+0.0128835657864791i,0.0290223107215291,-30.7453602503308
"10458",65000,1490,1026.8,101,0.422,0.422,0.00325167014476253+0.00130308171939609i,0.0212468655147349+0.00959224253471i,0.0268120558715996,-31.433397685684
"10459",66000,1490,1026.8,101,0.422,0.422,-0.00032458849709437-0.00138304665037362i,-0.0036543887860332-0.0220473545799779i,0.0237658570650188,-32.4809303836255
"10460",67000,1490,1026.8,101,0.422,0.422,9.08679721838341e-04-4.90221952337395e-04i,-0.0155910283368683+0.0146389179444619i,0.020390119154405,-33.8116047262721
"10461",68000,1490,1026.8,101,0.422,0.422,-0.00292657840338855-0.00136260330963998i,0.0199143297195985+0.0045739950858839i,0.0172886301343374,-35.2447883342521
"10462",69000,1490,1026.8,101,0.422,0.422,0.00049705023229272+0.00466233214900282i,-0.0069934498780565-0.0181961810116812i,0.015012270760791,-36.4710722253642
"10463",70000,1490,1026.8,101,0.422,0.422,0.00410657551964628-0.00296632850906386i,-0.0106333975074993+0.0152307504755382i,0.013893000087557,-37.1440792309883
